67+81->7+1=8,6+8=4c1->148
93+56->3+6=9,9+5=4c1->149
77+15->7+5=2c1,7+1+1=9c0->92
34+28->4+8=2c1,3+2+1=6c0->62
96+71->6+1=7,9+7=6c1->167
82+38->2+8=0c1,8+3+1=2c1->120
77+77->7+7=4c1,7+7+1=5c1->154
71+71->1+1=2,7+7=4c1->142
82+47->2+7=9,8+4=2c1->129
74+66->4+6=0c1,7+6+1=4c1->140
70+67->0+7=7,7+6=3c1->137
16+8->6+8=4c1,1+0+1=2c0->24
40+24->0+4=4,4+2=6->64
86+90->6+0=6,8+9=7c1->176
40+17->0+7=7,4+1=5->57
17+51->7+1=8,1+5=6->68
55+65->5+5=0c1,5+6+1=2c1->120
54+14->4+4=8,5+1=6->68
99+96->9+6=5c1,9+9+1=9c1->195
69+20->9+0=9,6+2=8->89
35+49->5+9=4c1,3+4+1=8c0->84
75+60->5+0=5,7+6=3c1->135
39+36->9+6=5c1,3+3+1=7c0->75
4+75->4+5=9,0+7=7->79
18+8->8+8=6c1,1+0+1=2c0->26
93+69->3+9=2c1,9+6+1=6c1->162
1+80->1+0=1,0+8=8->81
25+52->5+2=7,2+5=7->77
65+42->5+2=7,6+4=0c1->107
36+32->6+2=8,3+3=6->68
95+28->5+8=3c1,9+2+1=2c1->123
52+26->2+6=8,5+2=7->78
37+38->7+8=5c1,3+3+1=7c0->75
1+52->1+2=3,0+5=5->53
60+89->0+9=9,6+8=4c1->149
10+19->0+9=9,1+1=2->29
71+43->1+3=4,7+4=1c1->114
50+90->0+0=0,5+9=4c1->140
93+86->3+6=9,9+8=7c1->179
50+50->0+0=0,5+5=0c1->100
80+75->0+5=5,8+7=5c1->155
86+31->6+1=7,8+3=1c1->117
27+97->7+7=4c1,2+9+1=2c1->124
47+49->7+9=6c1,4+4+1=9c0->96
32+30->2+0=2,3+3=6->62
36+39->6+9=5c1,3+3+1=7c0->75
46+48->6+8=4c1,4+4+1=9c0->94
98+83->8+3=1c1,9+8+1=8c1->181
83+23->3+3=6,8+2=0c1->106
28+98->8+8=6c1,2+9+1=2c1->126
89+36->9+6=5c1,8+3+1=2c1->125
11+78->1+8=9,1+7=8->89
6+74->6+4=0c1,0+7+1=8c0->80
91+12->1+2=3,9+1=0c1->103
16+59->6+9=5c1,1+5+1=7c0->75
99+40->9+0=9,9+4=3c1->139
50+12->0+2=2,5+1=6->62
12+38->2+8=0c1,1+3+1=5c0->50
56+67->6+7=3c1,5+6+1=2c1->123
43+87->3+7=0c1,4+8+1=3c1->130
36+86->6+6=2c1,3+8+1=2c1->122
6+66->6+6=2c1,0+6+1=7c0->72
34+97->4+7=1c1,3+9+1=3c1->131
65+60->5+0=5,6+6=2c1->125
78+20->8+0=8,7+2=9->98
28+68->8+8=6c1,2+6+1=9c0->96
88+84->8+4=2c1,8+8+1=7c1->172
59+78->9+8=7c1,5+7+1=3c1->137
24+29->4+9=3c1,2+2+1=5c0->53
70+41->0+1=1,7+4=1c1->111
88+78->8+8=6c1,8+7+1=6c1->166
21+37->1+7=8,2+3=5->58
99+54->9+4=3c1,9+5+1=5c1->153
66+37->6+7=3c1,6+3+1=0c1->103
6+71->6+1=7,0+7=7->77
98+48->8+8=6c1,9+4+1=4c1->146
53+2->3+2=5,5+0=5->55
27+69->7+9=6c1,2+6+1=9c0->96
88+66->8+6=4c1,8+6+1=5c1->154
93+78->3+8=1c1,9+7+1=7c1->171
1+91->1+1=2,0+9=9->92
12+12->2+2=4,1+1=2->24
63+35->3+5=8,6+3=9->98
50+54->0+4=4,5+5=0c1->104
79+77->9+7=6c1,7+7+1=5c1->156
70+25->0+5=5,7+2=9->95
9+75->9+5=4c1,0+7+1=8c0->84
70+26->0+6=6,7+2=9->96
31+84->1+4=5,3+8=1c1->115
85+86->5+6=1c1,8+8+1=7c1->171
89+91->9+1=0c1,8+9+1=8c1->180
88+48->8+8=6c1,8+4+1=3c1->136
73+52->3+2=5,7+5=2c1->125
91+30->1+0=1,9+3=2c1->121
42+14->2+4=6,4+1=5->56
26+51->6+1=7,2+5=7->77
43+68->3+8=1c1,4+6+1=1c1->111
95+40->5+0=5,9+4=3c1->135
65+16->5+6=1c1,6+1+1=8c0->81
24+77->4+7=1c1,2+7+1=0c1->101
35+13->5+3=8,3+1=4->48
24+43->4+3=7,2+4=6->67
65+85->5+5=0c1,6+8+1=5c1->150
5+90->5+0=5,0+9=9->95
18+60->8+0=8,1+6=7->78
78+58->8+8=6c1,7+5+1=3c1->136
53+52->3+2=5,5+5=0c1->105
18+25->8+5=3c1,1+2+1=4c0->43
4+40->4+0=4,0+4=4->44
88+47->8+7=5c1,8+4+1=3c1->135
15+94->5+4=9,1+9=0c1->109
54+75->4+5=9,5+7=2c1->129
88+1->8+1=9,8+0=8->89
72+76->2+6=8,7+7=4c1->148
89+10->9+0=9,8+1=9->99
70+78->0+8=8,7+7=4c1->148
77+96->7+6=3c1,7+9+1=7c1->173
58+73->8+3=1c1,5+7+1=3c1->131
39+69->9+9=8c1,3+6+1=0c1->108
37+65->7+5=2c1,3+6+1=0c1->102
44+99->4+9=3c1,4+9+1=4c1->143
1+53->1+3=4,0+5=5->54
73+88->3+8=1c1,7+8+1=6c1->161
73+53->3+3=6,7+5=2c1->126
40+84->0+4=4,4+8=2c1->124
12+99->2+9=1c1,1+9+1=1c1->111
6+54->6+4=0c1,0+5+1=6c0->60
95+61->5+1=6,9+6=5c1->156
5+5->5+5=0c1->10
76+81->6+1=7,7+8=5c1->157
5+37->5+7=2c1,0+3+1=4c0->42
55+18->5+8=3c1,5+1+1=7c0->73
76+76->6+6=2c1,7+7+1=5c1->152
92+96->2+6=8,9+9=8c1->188
72+81->2+1=3,7+8=5c1->153
96+84->6+4=0c1,9+8+1=8c1->180
84+43->4+3=7,8+4=2c1->127
3+61->3+1=4,0+6=6->64
18+65->8+5=3c1,1+6+1=8c0->83
34+15->4+5=9,3+1=4->49
29+42->9+2=1c1,2+4+1=7c0->71
52+17->2+7=9,5+1=6->69
18+26->8+6=4c1,1+2+1=4c0->44
59+17->9+7=6c1,5+1+1=7c0->76
30+23->0+3=3,3+2=5->53
76+34->6+4=0c1,7+3+1=1c1->110
59+50->9+0=9,5+5=0c1->109
16+80->6+0=6,1+8=9->96
98+21->8+1=9,9+2=1c1->119
93+36->3+6=9,9+3=2c1->129
10+49->0+9=9,1+4=5->59
20+95->0+5=5,2+9=1c1->115
13+95->3+5=8,1+9=0c1->108
87+97->7+7=4c1,8+9+1=8c1->184
99+46->9+6=5c1,9+4+1=4c1->145
61+94->1+4=5,6+9=5c1->155
83+14->3+4=7,8+1=9->97
8+52->8+2=0c1,0+5+1=6c0->60
15+98->5+8=3c1,1+9+1=1c1->113
44+8->4+8=2c1,4+0+1=5c0->52
81+2->1+2=3,8+0=8->83
80+69->0+9=9,8+6=4c1->149
6+24->6+4=0c1,0+2+1=3c0->30
9+32->9+2=1c1,0+3+1=4c0->41
14+55->4+5=9,1+5=6->69
1+48->1+8=9,0+4=4->49
52+73->2+3=5,5+7=2c1->125
96+63->6+3=9,9+6=5c1->159
55+56->5+6=1c1,5+5+1=1c1->111
93+96->3+6=9,9+9=8c1->189
32+2->2+2=4,3+0=3->34
27+29->7+9=6c1,2+2+1=5c0->56
8+79->8+9=7c1,0+7+1=8c0->87
98+11->8+1=9,9+1=0c1->109
43+1->3+1=4,4+0=4->44
33+19->3+9=2c1,3+1+1=5c0->52
81+89->1+9=0c1,8+8+1=7c1->170
20+34->0+4=4,2+3=5->54
85+24->5+4=9,8+2=0c1->109
80+13->0+3=3,8+1=9->93
82+60->2+0=2,8+6=4c1->142
53+92->3+2=5,5+9=4c1->145
85+13->5+3=8,8+1=9->98
66+99->6+9=5c1,6+9+1=6c1->165
39+71->9+1=0c1,3+7+1=1c1->110
58+62->8+2=0c1,5+6+1=2c1->120
1+30->1+0=1,0+3=3->31
68+9->8+9=7c1,6+0+1=7c0->77
83+70->3+0=3,8+7=5c1->153
78+10->8+0=8,7+1=8->88
11+13->1+3=4,1+1=2->24
72+23->2+3=5,7+2=9->95
94+10->4+0=4,9+1=0c1->104
96+28->6+8=4c1,9+2+1=2c1->124
96+75->6+5=1c1,9+7+1=7c1->171
31+45->1+5=6,3+4=7->76
27+59->7+9=6c1,2+5+1=8c0->86
90+31->0+1=1,9+3=2c1->121
40+71->0+1=1,4+7=1c1->111
38+68->8+8=6c1,3+6+1=0c1->106
56+25->6+5=1c1,5+2+1=8c0->81
62+45->2+5=7,6+4=0c1->107
87+9->7+9=6c1,8+0+1=9c0->96
91+57->1+7=8,9+5=4c1->148
51+25->1+5=6,5+2=7->76
43+49->3+9=2c1,4+4+1=9c0->92
68+20->8+0=8,6+2=8->88
62+25->2+5=7,6+2=8->87
46+74->6+4=0c1,4+7+1=2c1->120
92+67->2+7=9,9+6=5c1->159
99+63->9+3=2c1,9+6+1=6c1->162
76+92->6+2=8,7+9=6c1->168
28+24->8+4=2c1,2+2+1=5c0->52
45+26->5+6=1c1,4+2+1=7c0->71
69+23->9+3=2c1,6+2+1=9c0->92
59+3->9+3=2c1,5+0+1=6c0->62
71+91->1+1=2,7+9=6c1->162
15+73->5+3=8,1+7=8->88
17+36->7+6=3c1,1+3+1=5c0->53
43+83->3+3=6,4+8=2c1->126
62+79->2+9=1c1,6+7+1=4c1->141
97+38->7+8=5c1,9+3+1=3c1->135
31+75->1+5=6,3+7=0c1->106
75+84->5+4=9,7+8=5c1->159
76+44->6+4=0c1,7+4+1=2c1->120
65+84->5+4=9,6+8=4c1->149
54+98->4+8=2c1,5+9+1=5c1->152
74+84->4+4=8,7+8=5c1->158
94+86->4+6=0c1,9+8+1=8c1->180
62+15->2+5=7,6+1=7->77
83+93->3+3=6,8+9=7c1->176
17+29->7+9=6c1,1+2+1=4c0->46
21+79->1+9=0c1,2+7+1=0c1->100
23+63->3+3=6,2+6=8->86
76+77->6+7=3c1,7+7+1=5c1->153
36+7->6+7=3c1,3+0+1=4c0->43
90+88->0+8=8,9+8=7c1->178
61+33->1+3=4,6+3=9->94
34+55->4+5=9,3+5=8->89
43+45->3+5=8,4+4=8->88
57+71->7+1=8,5+7=2c1->128
36+18->6+8=4c1,3+1+1=5c0->54
13+92->3+2=5,1+9=0c1->105
15+57->5+7=2c1,1+5+1=7c0->72
72+59->2+9=1c1,7+5+1=3c1->131
54+4->4+4=8,5+0=5->58
48+83->8+3=1c1,4+8+1=3c1->131
50+91->0+1=1,5+9=4c1->141
91+34->1+4=5,9+3=2c1->125
52+72->2+2=4,5+7=2c1->124
35+59->5+9=4c1,3+5+1=9c0->94
48+76->8+6=4c1,4+7+1=2c1->124
38+10->8+0=8,3+1=4->48
38+21->8+1=9,3+2=5->59
17+23->7+3=0c1,1+2+1=4c0->40
83+13->3+3=6,8+1=9->96
60+92->0+2=2,6+9=5c1->152
7+69->7+9=6c1,0+6+1=7c0->76
63+92->3+2=5,6+9=5c1->155
35+96->5+6=1c1,3+9+1=3c1->131
21+27->1+7=8,2+2=4->48
32+66->2+6=8,3+6=9->98
48+64->8+4=2c1,4+6+1=1c1->112
31+26->1+6=7,3+2=5->57
22+51->2+1=3,2+5=7->73
77+7->7+7=4c1,7+0+1=8c0->84
71+89->1+9=0c1,7+8+1=6c1->160
37+29->7+9=6c1,3+2+1=6c0->66
75+40->5+0=5,7+4=1c1->115
62+1->2+1=3,6+0=6->63
86+84->6+4=0c1,8+8+1=7c1->170
60+38->0+8=8,6+3=9->98
1+77->1+7=8,0+7=7->78
58+90->8+0=8,5+9=4c1->148
69+36->9+6=5c1,6+3+1=0c1->105
36+99->6+9=5c1,3+9+1=3c1->135
26+31->6+1=7,2+3=5->57
4+87->4+7=1c1,0+8+1=9c0->91
62+41->2+1=3,6+4=0c1->103
30+85->0+5=5,3+8=1c1->115
36+2->6+2=8,3+0=3->38
53+75->3+5=8,5+7=2c1->128
35+66->5+6=1c1,3+6+1=0c1->101
68+76->8+6=4c1,6+7+1=4c1->144
31+66->1+6=7,3+6=9->97
92+4->2+4=6,9+0=9->96
63+50->3+0=3,6+5=1c1->113
81+71->1+1=2,8+7=5c1->152
80+5->0+5=5,8+0=8->85
38+53->8+3=1c1,3+5+1=9c0->91
52+70->2+0=2,5+7=2c1->122
81+46->1+6=7,8+4=2c1->127
72+17->2+7=9,7+1=8->89
66+74->6+4=0c1,6+7+1=4c1->140
48+58->8+8=6c1,4+5+1=0c1->106
84+66->4+6=0c1,8+6+1=5c1->150
63+99->3+9=2c1,6+9+1=6c1->162
53+74->3+4=7,5+7=2c1->127
38+25->8+5=3c1,3+2+1=6c0->63
55+83->5+3=8,5+8=3c1->138
45+98->5+8=3c1,4+9+1=4c1->143
25+99->5+9=4c1,2+9+1=2c1->124
4+60->4+0=4,0+6=6->64
72+28->2+8=0c1,7+2+1=0c1->100
72+39->2+9=1c1,7+3+1=1c1->111
92+38->2+8=0c1,9+3+1=3c1->130
3+96->3+6=9,0+9=9->99
61+11->1+1=2,6+1=7->72
36+67->6+7=3c1,3+6+1=0c1->103
10+99->0+9=9,1+9=0c1->109
23+53->3+3=6,2+5=7->76
92+32->2+2=4,9+3=2c1->124
16+93->6+3=9,1+9=0c1->109
33+96->3+6=9,3+9=2c1->129
29+33->9+3=2c1,2+3+1=6c0->62
18+82->8+2=0c1,1+8+1=0c1->100
44+62->4+2=6,4+6=0c1->106
56+76->6+6=2c1,5+7+1=3c1->132
67+77->7+7=4c1,6+7+1=4c1->144
18+67->8+7=5c1,1+6+1=8c0->85
86+1->6+1=7,8+0=8->87
54+85->4+5=9,5+8=3c1->139
63+65->3+5=8,6+6=2c1->128
70+5->0+5=5,7+0=7->75
90+75->0+5=5,9+7=6c1->165
3+84->3+4=7,0+8=8->87
26+23->6+3=9,2+2=4->49
2+95->2+5=7,0+9=9->97
54+57->4+7=1c1,5+5+1=1c1->111
15+75->5+5=0c1,1+7+1=9c0->90
13+31->3+1=4,1+3=4->44
28+64->8+4=2c1,2+6+1=9c0->92
5+72->5+2=7,0+7=7->77
46+2->6+2=8,4+0=4->48
72+32->2+2=4,7+3=0c1->104
73+7->3+7=0c1,7+0+1=8c0->80
92+80->2+0=2,9+8=7c1->172
79+68->9+8=7c1,7+6+1=4c1->147
34+60->4+0=4,3+6=9->94
26+7->6+7=3c1,2+0+1=3c0->33
19+18->9+8=7c1,1+1+1=3c0->37
79+38->9+8=7c1,7+3+1=1c1->117
21+98->1+8=9,2+9=1c1->119
39+9->9+9=8c1,3+0+1=4c0->48
56+60->6+0=6,5+6=1c1->116
39+90->9+0=9,3+9=2c1->129
70+63->0+3=3,7+6=3c1->133
27+99->7+9=6c1,2+9+1=2c1->126
1+7->1+7=8->8
19+46->9+6=5c1,1+4+1=6c0->65
81+35->1+5=6,8+3=1c1->116
87+7->7+7=4c1,8+0+1=9c0->94
70+6->0+6=6,7+0=7->76
85+46->5+6=1c1,8+4+1=3c1->131
65+33->5+3=8,6+3=9->98
36+20->6+0=6,3+2=5->56
26+91->6+1=7,2+9=1c1->117
83+71->3+1=4,8+7=5c1->154
65+31->5+1=6,6+3=9->96
11+75->1+5=6,1+7=8->86
23+73->3+3=6,2+7=9->96
80+23->0+3=3,8+2=0c1->103
42+87->2+7=9,4+8=2c1->129
84+49->4+9=3c1,8+4+1=3c1->133
81+92->1+2=3,8+9=7c1->173
98+31->8+1=9,9+3=2c1->129
19+22->9+2=1c1,1+2+1=4c0->41
71+12->1+2=3,7+1=8->83
28+55->8+5=3c1,2+5+1=8c0->83
72+69->2+9=1c1,7+6+1=4c1->141
89+46->9+6=5c1,8+4+1=3c1->135
91+74->1+4=5,9+7=6c1->165
64+76->4+6=0c1,6+7+1=4c1->140
93+70->3+0=3,9+7=6c1->163
14+66->4+6=0c1,1+6+1=8c0->80
43+26->3+6=9,4+2=6->69
68+92->8+2=0c1,6+9+1=6c1->160
19+25->9+5=4c1,1+2+1=4c0->44
19+77->9+7=6c1,1+7+1=9c0->96
75+41->5+1=6,7+4=1c1->116
56+66->6+6=2c1,5+6+1=2c1->122
83+67->3+7=0c1,8+6+1=5c1->150
59+49->9+9=8c1,5+4+1=0c1->108
54+72->4+2=6,5+7=2c1->126
63+8->3+8=1c1,6+0+1=7c0->71
21+20->1+0=1,2+2=4->41
13+79->3+9=2c1,1+7+1=9c0->92
34+12->4+2=6,3+1=4->46
70+80->0+0=0,7+8=5c1->150
68+12->8+2=0c1,6+1+1=8c0->80
88+22->8+2=0c1,8+2+1=1c1->110
29+5->9+5=4c1,2+0+1=3c0->34
13+46->3+6=9,1+4=5->59
13+52->3+2=5,1+5=6->65
33+14->3+4=7,3+1=4->47
24+27->4+7=1c1,2+2+1=5c0->51
99+7->9+7=6c1,9+0+1=0c1->106
85+28->5+8=3c1,8+2+1=1c1->113
18+55->8+5=3c1,1+5+1=7c0->73
92+93->2+3=5,9+9=8c1->185
21+64->1+4=5,2+6=8->85
81+72->1+2=3,8+7=5c1->153
99+72->9+2=1c1,9+7+1=7c1->171
6+83->6+3=9,0+8=8->89
15+34->5+4=9,1+3=4->49
73+19->3+9=2c1,7+1+1=9c0->92
86+75->6+5=1c1,8+7+1=6c1->161
35+94->5+4=9,3+9=2c1->129
48+97->8+7=5c1,4+9+1=4c1->145
31+85->1+5=6,3+8=1c1->116
5+34->5+4=9,0+3=3->39
15+91->5+1=6,1+9=0c1->106
86+61->6+1=7,8+6=4c1->147
66+79->6+9=5c1,6+7+1=4c1->145
19+96->9+6=5c1,1+9+1=1c1->115
32+14->2+4=6,3+1=4->46
52+19->2+9=1c1,5+1+1=7c0->71
99+64->9+4=3c1,9+6+1=6c1->163
49+63->9+3=2c1,4+6+1=1c1->112
44+80->4+0=4,4+8=2c1->124
54+12->4+2=6,5+1=6->66
21+56->1+6=7,2+5=7->77
8+39->8+9=7c1,0+3+1=4c0->47
53+81->3+1=4,5+8=3c1->134
76+14->6+4=0c1,7+1+1=9c0->90
42+74->2+4=6,4+7=1c1->116
60+26->0+6=6,6+2=8->86
24+89->4+9=3c1,2+8+1=1c1->113
4+43->4+3=7,0+4=4->47
9+68->9+8=7c1,0+6+1=7c0->77
80+67->0+7=7,8+6=4c1->147
26+98->6+8=4c1,2+9+1=2c1->124
76+31->6+1=7,7+3=0c1->107
1+72->1+2=3,0+7=7->73
48+85->8+5=3c1,4+8+1=3c1->133
95+13->5+3=8,9+1=0c1->108
45+3->5+3=8,4+0=4->48
57+73->7+3=0c1,5+7+1=3c1->130
29+95->9+5=4c1,2+9+1=2c1->124
29+99->9+9=8c1,2+9+1=2c1->128
5+75->5+5=0c1,0+7+1=8c0->80
48+55->8+5=3c1,4+5+1=0c1->103
49+16->9+6=5c1,4+1+1=6c0->65
8+24->8+4=2c1,0+2+1=3c0->32
9+9->9+9=8c1->18
52+28->2+8=0c1,5+2+1=8c0->80
28+18->8+8=6c1,2+1+1=4c0->46
37+13->7+3=0c1,3+1+1=5c0->50
78+94->8+4=2c1,7+9+1=7c1->172
42+89->2+9=1c1,4+8+1=3c1->131
2+52->2+2=4,0+5=5->54
53+96->3+6=9,5+9=4c1->149
92+28->2+8=0c1,9+2+1=2c1->120
33+13->3+3=6,3+1=4->46
13+22->3+2=5,1+2=3->35
73+48->3+8=1c1,7+4+1=2c1->121
52+95->2+5=7,5+9=4c1->147
13+11->3+1=4,1+1=2->24
27+51->7+1=8,2+5=7->78
5+78->5+8=3c1,0+7+1=8c0->83
31+17->1+7=8,3+1=4->48
70+35->0+5=5,7+3=0c1->105
84+64->4+4=8,8+6=4c1->148
35+39->5+9=4c1,3+3+1=7c0->74
68+79->8+9=7c1,6+7+1=4c1->147
14+16->4+6=0c1,1+1+1=3c0->30
27+27->7+7=4c1,2+2+1=5c0->54
41+97->1+7=8,4+9=3c1->138
95+9->5+9=4c1,9+0+1=0c1->104
93+76->3+6=9,9+7=6c1->169
89+34->9+4=3c1,8+3+1=2c1->123
11+4->1+4=5,1+0=1->15
23+28->3+8=1c1,2+2+1=5c0->51
25+71->5+1=6,2+7=9->96
9+70->9+0=9,0+7=7->79
11+33->1+3=4,1+3=4->44
33+97->3+7=0c1,3+9+1=3c1->130
40+52->0+2=2,4+5=9->92
78+84->8+4=2c1,7+8+1=6c1->162
33+16->3+6=9,3+1=4->49
37+51->7+1=8,3+5=8->88
51+74->1+4=5,5+7=2c1->125
11+2->1+2=3,1+0=1->13
93+53->3+3=6,9+5=4c1->146
19+78->9+8=7c1,1+7+1=9c0->97
4+52->4+2=6,0+5=5->56
6+4->6+4=0c1->10
7+75->7+5=2c1,0+7+1=8c0->82
40+86->0+6=6,4+8=2c1->126
8+36->8+6=4c1,0+3+1=4c0->44
63+47->3+7=0c1,6+4+1=1c1->110
19+12->9+2=1c1,1+1+1=3c0->31
6+2->6+2=8->8
36+5->6+5=1c1,3+0+1=4c0->41
15+79->5+9=4c1,1+7+1=9c0->94
74+9->4+9=3c1,7+0+1=8c0->83
58+98->8+8=6c1,5+9+1=5c1->156
22+32->2+2=4,2+3=5->54
34+31->4+1=5,3+3=6->65
60+4->0+4=4,6+0=6->64
2+76->2+6=8,0+7=7->78
61+63->1+3=4,6+6=2c1->124
13+49->3+9=2c1,1+4+1=6c0->62
98+39->8+9=7c1,9+3+1=3c1->137
74+55->4+5=9,7+5=2c1->129
65+10->5+0=5,6+1=7->75
34+43->4+3=7,3+4=7->77
27+83->7+3=0c1,2+8+1=1c1->110
7+11->7+1=8,0+1=1->18
32+27->2+7=9,3+2=5->59
12+70->2+0=2,1+7=8->82
84+58->4+8=2c1,8+5+1=4c1->142
71+46->1+6=7,7+4=1c1->117
85+30->5+0=5,8+3=1c1->115
64+41->4+1=5,6+4=0c1->105
12+22->2+2=4,1+2=3->34
85+18->5+8=3c1,8+1+1=0c1->103
19+9->9+9=8c1,1+0+1=2c0->28
14+28->4+8=2c1,1+2+1=4c0->42
37+74->7+4=1c1,3+7+1=1c1->111
4+7->4+7=1c1->11
79+7->9+7=6c1,7+0+1=8c0->86
37+19->7+9=6c1,3+1+1=5c0->56
62+28->2+8=0c1,6+2+1=9c0->90
48+40->8+0=8,4+4=8->88
68+87->8+7=5c1,6+8+1=5c1->155
12+23->2+3=5,1+2=3->35
18+51->8+1=9,1+5=6->69
12+42->2+2=4,1+4=5->54
20+61->0+1=1,2+6=8->81
3+55->3+5=8,0+5=5->58
84+18->4+8=2c1,8+1+1=0c1->102
77+60->7+0=7,7+6=3c1->137
94+79->4+9=3c1,9+7+1=7c1->173
88+54->8+4=2c1,8+5+1=4c1->142
31+70->1+0=1,3+7=0c1->101
64+66->4+6=0c1,6+6+1=3c1->130
3+82->3+2=5,0+8=8->85
61+18->1+8=9,6+1=7->79
48+84->8+4=2c1,4+8+1=3c1->132
69+72->9+2=1c1,6+7+1=4c1->141
95+58->5+8=3c1,9+5+1=5c1->153
17+55->7+5=2c1,1+5+1=7c0->72
42+90->2+0=2,4+9=3c1->132
23+21->3+1=4,2+2=4->44
8+30->8+0=8,0+3=3->38
97+71->7+1=8,9+7=6c1->168
5+94->5+4=9,0+9=9->99
10+89->0+9=9,1+8=9->99
81+69->1+9=0c1,8+6+1=5c1->150
11+61->1+1=2,1+6=7->72
40+53->0+3=3,4+5=9->93
28+93->8+3=1c1,2+9+1=2c1->121
35+63->5+3=8,3+6=9->98
8+5->8+5=3c1->13
92+15->2+5=7,9+1=0c1->107
46+77->6+7=3c1,4+7+1=2c1->123
91+33->1+3=4,9+3=2c1->124
85+33->5+3=8,8+3=1c1->118
43+72->3+2=5,4+7=1c1->115
82+44->2+4=6,8+4=2c1->126
37+56->7+6=3c1,3+5+1=9c0->93
6+49->6+9=5c1,0+4+1=5c0->55
52+36->2+6=8,5+3=8->88
20+41->0+1=1,2+4=6->61
43+65->3+5=8,4+6=0c1->108
6+6->6+6=2c1->12
7+14->7+4=1c1,0+1+1=2c0->21
41+69->1+9=0c1,4+6+1=1c1->110
49+51->9+1=0c1,4+5+1=0c1->100
78+96->8+6=4c1,7+9+1=7c1->174
63+21->3+1=4,6+2=8->84
64+33->4+3=7,6+3=9->97
60+31->0+1=1,6+3=9->91
93+42->3+2=5,9+4=3c1->135
11+85->1+5=6,1+8=9->96
59+71->9+1=0c1,5+7+1=3c1->130
81+53->1+3=4,8+5=3c1->134
17+92->7+2=9,1+9=0c1->109
45+41->5+1=6,4+4=8->86
53+85->3+5=8,5+8=3c1->138
96+59->6+9=5c1,9+5+1=5c1->155
34+84->4+4=8,3+8=1c1->118
42+16->2+6=8,4+1=5->58
85+11->5+1=6,8+1=9->96
40+74->0+4=4,4+7=1c1->114
66+11->6+1=7,6+1=7->77
59+8->9+8=7c1,5+0+1=6c0->67
25+42->5+2=7,2+4=6->67
6+47->6+7=3c1,0+4+1=5c0->53
61+44->1+4=5,6+4=0c1->105
7+49->7+9=6c1,0+4+1=5c0->56
29+81->9+1=0c1,2+8+1=1c1->110
48+65->8+5=3c1,4+6+1=1c1->113
70+50->0+0=0,7+5=2c1->120
95+8->5+8=3c1,9+0+1=0c1->103
71+18->1+8=9,7+1=8->89
10+3->0+3=3,1+0=1->13
39+21->9+1=0c1,3+2+1=6c0->60
65+96->5+6=1c1,6+9+1=6c1->161
77+5->7+5=2c1,7+0+1=8c0->82
59+1->9+1=0c1,5+0+1=6c0->60
28+34->8+4=2c1,2+3+1=6c0->62
24+53->4+3=7,2+5=7->77
26+17->6+7=3c1,2+1+1=4c0->43
28+90->8+0=8,2+9=1c1->118
4+68->4+8=2c1,0+6+1=7c0->72
15+81->5+1=6,1+8=9->96
67+83->7+3=0c1,6+8+1=5c1->150
64+96->4+6=0c1,6+9+1=6c1->160
12+78->2+8=0c1,1+7+1=9c0->90
77+97->7+7=4c1,7+9+1=7c1->174
37+9->7+9=6c1,3+0+1=4c0->46
46+79->6+9=5c1,4+7+1=2c1->125
48+91->8+1=9,4+9=3c1->139
17+15->7+5=2c1,1+1+1=3c0->32
18+85->8+5=3c1,1+8+1=0c1->103
35+15->5+5=0c1,3+1+1=5c0->50
7+37->7+7=4c1,0+3+1=4c0->44
91+83->1+3=4,9+8=7c1->174
89+96->9+6=5c1,8+9+1=8c1->185
11+66->1+6=7,1+6=7->77
34+30->4+0=4,3+3=6->64
93+71->3+1=4,9+7=6c1->164
82+90->2+0=2,8+9=7c1->172
87+31->7+1=8,8+3=1c1->118
48+66->8+6=4c1,4+6+1=1c1->114
14+87->4+7=1c1,1+8+1=0c1->101
73+28->3+8=1c1,7+2+1=0c1->101
97+2->7+2=9,9+0=9->99
2+20->2+0=2,0+2=2->22
52+23->2+3=5,5+2=7->75
76+75->6+5=1c1,7+7+1=5c1->151
90+65->0+5=5,9+6=5c1->155
63+98->3+8=1c1,6+9+1=6c1->161
2+88->2+8=0c1,0+8+1=9c0->90
24+73->4+3=7,2+7=9->97
93+77->3+7=0c1,9+7+1=7c1->170
11+58->1+8=9,1+5=6->69
87+85->7+5=2c1,8+8+1=7c1->172
69+11->9+1=0c1,6+1+1=8c0->80
84+93->4+3=7,8+9=7c1->177
75+97->5+7=2c1,7+9+1=7c1->172
86+35->6+5=1c1,8+3+1=2c1->121
28+23->8+3=1c1,2+2+1=5c0->51
46+72->6+2=8,4+7=1c1->118
28+79->8+9=7c1,2+7+1=0c1->107
85+99->5+9=4c1,8+9+1=8c1->184
98+12->8+2=0c1,9+1+1=1c1->110
62+61->2+1=3,6+6=2c1->123
71+30->1+0=1,7+3=0c1->101
97+29->7+9=6c1,9+2+1=2c1->126
88+11->8+1=9,8+1=9->99
67+92->7+2=9,6+9=5c1->159
52+62->2+2=4,5+6=1c1->114
20+42->0+2=2,2+4=6->62
72+27->2+7=9,7+2=9->99
64+47->4+7=1c1,6+4+1=1c1->111
73+60->3+0=3,7+6=3c1->133
62+51->2+1=3,6+5=1c1->113
